50 313
1 8 1
1 10 1
1 12 1
1 27 1
1 29 1
1 32 1
1 33 1
1 38 1
1 39 1
1 48 1
2 5 1
2 7 1
2 9 1
2 16 1
2 23 1
2 28 1
2 30 1
2 35 1
2 49 1
3 5 1
3 15 1
3 18 1
3 24 1
3 29 1
3 31 1
3 34 1
3 41 1
3 42 1
3 45 1
3 50 1
4 5 1
4 15 1
4 26 1
4 33 1
4 43 1
4 45 1
4 50 1
5 10 1
5 13 1
5 17 1
5 18 1
5 19 1
5 24 1
5 27 1
5 29 1
5 36 1
5 39 1
5 44 1
5 47 1
5 50 1
6 8 1
6 12 1
6 14 1
6 17 1
6 19 1
6 24 1
6 26 1
6 28 1
6 32 1
6 36 1
6 42 1
6 47 1
6 48 1
7 10 1
7 11 1
7 12 1
7 21 1
7 26 1
7 38 1
7 40 1
7 44 1
7 45 1
7 46 1
7 50 1
8 9 1
8 13 1
8 15 1
8 21 1
8 25 1
8 32 1
8 34 1
8 35 1
8 39 1
8 40 1
8 41 1
8 43 1
8 44 1
8 46 1
8 48 1
9 13 1
9 16 1
9 21 1
9 23 1
9 39 1
9 40 1
9 43 1
9 44 1
9 47 1
10 16 1
10 17 1
10 24 1
10 28 1
10 29 1
10 34 1
10 37 1
10 49 1
11 12 1
11 13 1
11 23 1
11 26 1
11 31 1
11 35 1
11 42 1
11 44 1
12 13 1
12 14 1
12 25 1
12 31 1
12 40 1
12 46 1
12 48 1
13 26 1
13 28 1
13 34 1
13 38 1
13 40 1
13 41 1
14 15 1
14 23 1
14 31 1
14 43 1
15 21 1
15 22 1
15 25 1
15 27 1
15 35 1
15 43 1
15 44 1
15 46 1
15 47 1
15 49 1
16 17 1
16 18 1
16 20 1
16 21 1
16 25 1
16 28 1
16 30 1
16 31 1
16 40 1
16 47 1
16 49 1
17 19 1
17 21 1
17 26 1
17 28 1
17 30 1
17 33 1
17 34 1
17 38 1
17 39 1
17 42 1
17 45 1
17 47 1
18 19 1
18 20 1
18 24 1
18 27 1
18 28 1
18 30 1
18 35 1
18 38 1
18 46 1
18 48 1
19 21 1
19 23 1
19 24 1
19 26 1
19 30 1
19 33 1
19 34 1
19 38 1
19 40 1
19 43 1
19 44 1
19 46 1
19 49 1
19 50 1
20 22 1
20 25 1
20 27 1
20 30 1
20 32 1
20 34 1
20 46 1
20 48 1
20 49 1
21 29 1
21 35 1
21 36 1
21 50 1
22 23 1
22 25 1
22 26 1
22 27 1
22 33 1
22 43 1
22 47 1
22 48 1
22 49 1
23 27 1
23 34 1
23 35 1
23 46 1
23 50 1
24 25 1
24 26 1
24 27 1
24 33 1
24 36 1
24 37 1
24 41 1
24 45 1
24 48 1
25 31 1
25 33 1
25 38 1
25 39 1
25 40 1
25 41 1
26 33 1
26 34 1
26 35 1
26 49 1
27 32 1
27 41 1
27 47 1
27 50 1
28 33 1
28 35 1
28 39 1
28 41 1
28 46 1
28 48 1
29 34 1
29 37 1
29 40 1
29 43 1
29 45 1
29 47 1
30 33 1
30 39 1
30 40 1
30 41 1
30 42 1
30 45 1
30 46 1
30 50 1
31 41 1
31 42 1
31 43 1
31 46 1
32 33 1
32 34 1
32 37 1
32 42 1
32 43 1
32 46 1
32 47 1
32 48 1
33 38 1
33 40 1
33 41 1
33 45 1
34 41 1
34 44 1
35 37 1
35 41 1
35 43 1
35 48 1
35 50 1
36 41 1
36 43 1
36 45 1
36 49 1
37 38 1
37 43 1
37 47 1
38 39 1
38 42 1
38 43 1
38 46 1
38 49 1
38 50 1
39 40 1
39 42 1
39 46 1
39 50 1
40 41 1
40 47 1
40 48 1
40 50 1
41 44 1
41 45 1
42 44 1
42 46 1
43 44 1
43 46 1
44 49 1
44 50 1
45 46 1
45 48 1
45 49 1
